Metagene	Cell type	Immunity
ILDR1	Type 17 T helper cell	Adaptive
LONRF3	Type 17 T helper cell	Adaptive
SH2D6	Type 17 T helper cell	Adaptive
TNIP2	Type 17 T helper cell	Adaptive
ABCA1	Type 17 T helper cell	Adaptive
ABCB1	Type 17 T helper cell	Adaptive
ADAMTS12	Type 17 T helper cell	Adaptive
ANK1	Type 17 T helper cell	Adaptive
ANKRD22	Type 17 T helper cell	Adaptive
B3GALT2	Type 17 T helper cell	Adaptive
CAMTA1	Type 17 T helper cell	Adaptive
CCR9	Type 17 T helper cell	Adaptive
CD40	Type 17 T helper cell	Adaptive
GPR44	Type 17 T helper cell	Adaptive
IFT80	Type 17 T helper cell	Adaptive
ASB2	Type 2 T helper cell	Adaptive
CSRP2	Type 2 T helper cell	Adaptive
DAPK1	Type 2 T helper cell	Adaptive
DLC1	Type 2 T helper cell	Adaptive
DNAJC12	Type 2 T helper cell	Adaptive
DUSP6	Type 2 T helper cell	Adaptive
GNAI1	Type 2 T helper cell	Adaptive
LAMP3	Type 2 T helper cell	Adaptive
NRP2	Type 2 T helper cell	Adaptive
OSBPL1A	Type 2 T helper cell	Adaptive
PDE4B	Type 2 T helper cell	Adaptive
PHLDA1	Type 2 T helper cell	Adaptive
PLA2G4A	Type 2 T helper cell	Adaptive
RAB27B	Type 2 T helper cell	Adaptive
RBMS3	Type 2 T helper cell	Adaptive
RNF125	Type 2 T helper cell	Adaptive
TMPRSS3	Type 2 T helper cell	Adaptive
GATA3	Type 2 T helper cell	Adaptive
BIRC5	Type 2 T helper cell	Adaptive
CDC25C	Type 2 T helper cell	Adaptive
CDC7	Type 2 T helper cell	Adaptive
CENPF	Type 2 T helper cell	Adaptive
CXCR6	Type 2 T helper cell	Adaptive
DHFR	Type 2 T helper cell	Adaptive
EVI5	Type 2 T helper cell	Adaptive
GSTA4	Type 2 T helper cell	Adaptive
HELLS	Type 2 T helper cell	Adaptive
IL26	Type 2 T helper cell	Adaptive
LAIR2	Type 2 T helper cell	Adaptive
ABCD1	Activated dendritic cell	Innate
C1QC	Activated dendritic cell	Innate
CAPG	Activated dendritic cell	Innate
CCL3L3	Activated dendritic cell	Innate
CD207	Activated dendritic cell	Innate
CD302	Activated dendritic cell	Innate
ATP5B	Activated dendritic cell	Innate
ATP5L	Activated dendritic cell	Innate
ATP6V1A	Activated dendritic cell	Innate
BCL2L1	Activated dendritic cell	Innate
C1QB	Activated dendritic cell	Innate
SNURF	Activated dendritic cell	Innate
SPCS3	Activated dendritic cell	Innate
CCNA1	Activated dendritic cell	Innate
CEACAM8	Activated dendritic cell	Innate
NOS2	Activated dendritic cell	Innate
SRA1	Activated dendritic cell	Innate
TNFRSF6B	Activated dendritic cell	Innate
TREM1	Activated dendritic cell	Innate
TREML1	Activated dendritic cell	Innate
RHOA	Activated dendritic cell	Innate
SLC25A37	Activated dendritic cell	Innate
TNFSF14	Activated dendritic cell	Innate
TREML4	Activated dendritic cell	Innate
VNN2	Activated dendritic cell	Innate
XPO6	Activated dendritic cell	Innate
CLEC4C	Activated dendritic cell	Innate
TNFAIP2	Activated dendritic cell	Innate
UBD	Activated dendritic cell	Innate
ACTR3	Activated dendritic cell	Innate
RAB1A	Activated dendritic cell	Innate
SLA	Activated dendritic cell	Innate
HLA-DQA2	Activated dendritic cell	Innate
SIGLEC5	Activated dendritic cell	Innate
SLAMF9	Activated dendritic cell	Innate
ABAT	CD56bright natural killer cell	Innate
C11orf75	CD56bright natural killer cell	Innate
C5orf15	CD56bright natural killer cell	Innate
CDHR1	CD56bright natural killer cell	Innate
DCAF12	CD56bright natural killer cell	Innate
DYNLL1	CD56bright natural killer cell	Innate
GPR137B	CD56bright natural killer cell	Innate
HCP5	CD56bright natural killer cell	Innate
HDGFRP2	CD56bright natural killer cell	Innate
KRT86	CD56bright natural killer cell	Innate
MLST8	CD56bright natural killer cell	Innate
ELMOD3	CD56bright natural killer cell	Innate
ENTPD5	CD56bright natural killer cell	Innate
FAM119A	CD56bright natural killer cell	Innate
FAM179A	CD56bright natural killer cell	Innate
CLIC2	CD56bright natural killer cell	Innate
COX7A2L	CD56bright natural killer cell	Innate
CREB3L4	CD56bright natural killer cell	Innate
CSF1	CD56bright natural killer cell	Innate
CSNK2A2	CD56bright natural killer cell	Innate
CSTA	CD56bright natural killer cell	Innate
CSTB	CD56bright natural killer cell	Innate
CTPS	CD56bright natural killer cell	Innate
CTSD	CD56bright natural killer cell	Innate
FST	CD56bright natural killer cell	Innate
GATA2	CD56bright natural killer cell	Innate
GMPR	CD56bright natural killer cell	Innate
HDC	CD56bright natural killer cell	Innate
HEY1	CD56bright natural killer cell	Innate
HOXA1	CD56bright natural killer cell	Innate
HS2ST1	CD56bright natural killer cell	Innate
HS3ST1	CD56bright natural killer cell	Innate
BCL11B	CD56bright natural killer cell	Innate
CDH3	CD56bright natural killer cell	Innate
MYL6B	CD56bright natural killer cell	Innate
NAA16	CD56bright natural killer cell	Innate
ClQA	CD56bright natural killer cell	Innate
ClQB	CD56bright natural killer cell	Innate
CYP27B1	CD56bright natural killer cell	Innate
EIF3M	CD56bright natural killer cell	Innate
CYP27A1	CD56dim natural killer cell	Innate
DDX55	CD56dim natural killer cell	Innate
DYRK2	CD56dim natural killer cell	Innate
RPL37A	CD56dim natural killer cell	Innate
NOTCH3	CD56dim natural killer cell	Innate
AKR7A3	CD56dim natural killer cell	Innate
GPRC5C	CD56dim natural killer cell	Innate
GRIN1	CD56dim natural killer cell	Innate
HLA-E	CD56dim natural killer cell	Innate
PORCN	CD56dim natural killer cell	Innate
PSMC4	CD56dim natural killer cell	Innate
UPP1	CD56dim natural killer cell	Innate
IL21R	CD56dim natural killer cell	Innate
KIR2DS1	CD56dim natural killer cell	Innate
KIR2DS2	CD56dim natural killer cell	Innate
KIR2DS5	CD56dim natural killer cell	Innate
GIPR	Eosinophil	Innate
KRT18P50	Eosinophil	Innate
LRMP	Eosinophil	Innate
FOSB	Eosinophil	Innate
RRP12	Eosinophil	Innate
GPR183	Eosinophil	Innate
NR4A3	Eosinophil	Innate
ST3GAL6	Eosinophil	Innate
DEPDC5	Eosinophil	Innate
PDE6C	Eosinophil	Innate
PKD2L2	Eosinophil	Innate
GPR65	Eosinophil	Innate
IL5RA	Eosinophil	Innate
P2RY14	Eosinophil	Innate
DACH1	Eosinophil	Innate
DAPK2	Eosinophil	Innate
EMR3	Eosinophil	Innate
ACADM	Immature dendritic cell	Innate
AHCYL1	Immature dendritic cell	Innate
ALDH1A2	Immature dendritic cell	Innate
ALDH3A2	Immature dendritic cell	Innate
ALDH9A1	Immature dendritic cell	Innate
ALOX15	Immature dendritic cell	Innate
AMT	Immature dendritic cell	Innate
ARL1	Immature dendritic cell	Innate
ATIC	Immature dendritic cell	Innate
ATP5A1	Immature dendritic cell	Innate
CAPZA1	Immature dendritic cell	Innate
LILRA5	Immature dendritic cell	Innate
RDX	Immature dendritic cell	Innate
RRAGD	Immature dendritic cell	Innate
TACSTD2	Immature dendritic cell	Innate
INPP5F	Immature dendritic cell	Innate
RAB38	Immature dendritic cell	Innate
PLAU	Immature dendritic cell	Innate
CSF3R	Immature dendritic cell	Innate
SLC18A2	Immature dendritic cell	Innate
AMPD2	Immature dendritic cell	Innate
CLTB	Immature dendritic cell	Innate
C1orf162	Immature dendritic cell	Innate
AIF1	Macrophage	Innate
CCL1	Macrophage	Innate
CCL14	Macrophage	Innate
CCL23	Macrophage	Innate
CCL26	Macrophage	Innate
CD300LB	Macrophage	Innate
CNR1	Macrophage	Innate
CNR2	Macrophage	Innate
EIF1	Macrophage	Innate
EIF4A1	Macrophage	Innate
FPR1	Macrophage	Innate
FPR2	Macrophage	Innate
FRAT2	Macrophage	Innate
GPR27	Macrophage	Innate
GPR77	Macrophage	Innate
RNASE2	Macrophage	Innate
MS4A2	Macrophage	Innate
BASP1	Macrophage	Innate
IGSF6	Macrophage	Innate
HK3	Macrophage	Innate
VNN1	Macrophage	Innate
FES	Macrophage	Innate
NPL	Macrophage	Innate
FZD2	Macrophage	Innate
FAM198B	Macrophage	Innate
HNMT	Macrophage	Innate
SLC15A3	Macrophage	Innate
CD4	Macrophage	Innate
TXNDC3	Macrophage	Innate
FRMD4A	Macrophage	Innate
CRYBB1	Macrophage	Innate
HRH1	Macrophage	Innate
WNT5B	Macrophage	Innate
ADAMTS3	Mast cell	Innate
CPA3	Mast cell	Innate
CMA1	Mast cell	Innate
CTSG	Mast cell	Innate
ARHGAP15	Mast cell	Innate
CPM	Mast cell	Innate
FCN1	Mast cell	Innate
FTL	Mast cell	Innate
HSPA6	Mast cell	Innate
ITGA9	Mast cell	Innate
RNASE3	Mast cell	Innate
S100A4	Mast cell	Innate
SIGLEC8	Mast cell	Innate
SLC6A4	Mast cell	Innate
PTGS2	Mast cell	Innate
EGR3	Mast cell	Innate
PILRA	Mast cell	Innate
CCR2	MDSC	Innate
CD14	MDSC	Innate
CD2	MDSC	Innate
CD86	MDSC	Innate
CXCR4	MDSC	Innate
FCGR2A	MDSC	Innate
FCGR2B	MDSC	Innate
FCGR3A	MDSC	Innate
FERMT3	MDSC	Innate
GPSM3	MDSC	Innate
IL18BP	MDSC	Innate
IL4R	MDSC	Innate
ITGAL	MDSC	Innate
ITGAM	MDSC	Innate
PARVG	MDSC	Innate
PSAP	MDSC	Innate
PTGER2	MDSC	Innate
PTGES2	MDSC	Innate
S100A8	MDSC	Innate
S100A9	MDSC	Innate
ASGR2	Monocyte	Innate
CFP	Monocyte	Innate
ASGR1	Monocyte	Innate
CD1D	Monocyte	Innate
UPK3A	Monocyte	Innate
ACTG1	Monocyte	Innate
ANXA5	Monocyte	Innate
ATP6V1B2	Monocyte	Innate
CFL1	Monocyte	Innate
DAZAP2	Monocyte	Innate
CTBS	Monocyte	Innate
EMR4P	Monocyte	Innate
HIVEP2	Monocyte	Innate
MARCKSL1	Monocyte	Innate
MBP	Monocyte	Innate
MMP15	Monocyte	Innate
PNPLA6	Monocyte	Innate
TMBIM6	Monocyte	Innate
PQBP1	Monocyte	Innate
TEX264	Monocyte	Innate
IKZF1	Monocyte	Innate
AKT3	Natural killer cell	Innate
AXL	Natural killer cell	Innate
BST2	Natural killer cell	Innate
CDH2	Natural killer cell	Innate
CRTAM	Natural killer cell	Innate
CSF2RA	Natural killer cell	Innate
CTSZ	Natural killer cell	Innate
CXCL1	Natural killer cell	Innate
CYTH1	Natural killer cell	Innate
DAXX	Natural killer cell	Innate
DGKH	Natural killer cell	Innate
DLL4	Natural killer cell	Innate
DPYD	Natural killer cell	Innate
ERBB3	Natural killer cell	Innate
F11R	Natural killer cell	Innate
FAM27A	Natural killer cell	Innate
